Calculating SCF potentials ...
FEFF-MPI using     1 parallel threads.
Muffin tin radii and interstitial parameters [bohr]:
type, norman radius, muffin tin, overlap factor
    0  1.33550E+00  1.16024E+00  1.15000E+00
    1  1.33503E+00  1.16004E+00  1.15000E+00
    2  1.33550E+00  1.16024E+00  1.15000E+00
    3  1.11235E+00  9.11743E-01  1.15000E+00
    4  1.11209E+00  1.02879E+00  1.15000E+00
    5  1.10994E+00  1.02018E+00  1.15000E+00
    6  1.11096E+00  9.10804E-01  1.15000E+00
    7  1.10819E+00  1.01375E+00  1.15000E+00
    8  1.11183E+00  9.09656E-01  1.15000E+00
    9  1.11010E+00  9.08755E-01  1.15000E+00
   10  1.10436E+00  1.00992E+00  1.15000E+00
   11  1.11025E+00  1.01393E+00  1.15000E+00
Core-valence separation energy:  ecv=   -56.500 eV
Initial Fermi level:              mu=     2.195 eV
SCF ITERATION NUMBER  1
     point #   1  energy = -56.500
FMS for a cluster of    7 atoms around atom type   0
FMS for a cluster of    7 atoms around atom type   1
FMS for a cluster of    7 atoms around atom type   2
FMS for a cluster of    8 atoms around atom type   3
FMS for a cluster of   13 atoms around atom type   4
FMS for a cluster of   12 atoms around atom type   5
FMS for a cluster of    8 atoms around atom type   6
FMS for a cluster of   12 atoms around atom type   7
FMS for a cluster of    7 atoms around atom type   8
FMS for a cluster of    9 atoms around atom type   9
FMS for a cluster of   13 atoms around atom type  10
FMS for a cluster of   11 atoms around atom type  11
     point #  20  energy = -44.925
     point #  40  energy = -24.675
     point #  60  energy =  -9.591
     point #  80  energy =  -8.281
New Fermi level:    mu=  -7.906 eV  Charge distance=  0.1169 (partial c.d.=  6.6614)
SCF ITERATION NUMBER  2
     point #   1  energy = -56.500
     point #  20  energy = -45.364
     point #  40  energy = -25.116
     point #  60  energy =  -7.906
     point #  80  energy =  -8.075
New Fermi level:    mu=  -8.582 eV  Charge distance=  0.5705 (partial c.d.=  0.8475)
SCF ITERATION NUMBER  3
     point #   1  energy = -56.500
     point #  20  energy = -45.285
     point #  40  energy = -24.895
     point #  60  energy =  -8.582
     point #  80  energy =  -8.413
 Found bad counts.
  Occupation number in getorb is     7.000
  Will repeat this iteration.
Core-valence separation energy:  ecv=   -62.000 eV
Initial Fermi level:              mu=    -8.582 eV
SCF ITERATION NUMBER  1
     point #   1  energy = -62.000
FMS for a cluster of    7 atoms around atom type   0
FMS for a cluster of    7 atoms around atom type   1
FMS for a cluster of    7 atoms around atom type   2
FMS for a cluster of    8 atoms around atom type   3
FMS for a cluster of   13 atoms around atom type   4
FMS for a cluster of   12 atoms around atom type   5
FMS for a cluster of    8 atoms around atom type   6
FMS for a cluster of   12 atoms around atom type   7
FMS for a cluster of    7 atoms around atom type   8
FMS for a cluster of    9 atoms around atom type   9
FMS for a cluster of   13 atoms around atom type  10
FMS for a cluster of   11 atoms around atom type  11
     point #  20  energy = -50.913
     point #  40  energy = -30.756
     point #  60  energy = -10.598
     point #  80  energy =  -8.595
     point # 100  energy = -10.548
New Fermi level:    mu= -10.583 eV  Charge distance=  0.3954 (partial c.d.=  5.9765)
SCF ITERATION NUMBER  2
     point #   1  energy = -62.000
     point #  20  energy = -50.910
     point #  40  energy = -30.746
     point #  60  energy = -10.583
     point #  80  energy = -10.542
     point # 100  energy =  -9.549
New Fermi level:    mu=  -9.547 eV  Charge distance=  0.1739 (partial c.d.=  6.3360)
SCF ITERATION NUMBER  3
     point #   1  energy = -62.000
     point #  20  energy = -50.904
     point #  40  energy = -30.730
     point #  60  energy = -10.556
     point #  80  energy =  -9.507
New Fermi level:    mu=  -9.019 eV  Charge distance=  0.0792 (partial c.d.=  5.1963)
SCF ITERATION NUMBER  4
     point #   1  energy = -62.000
     point #  20  energy = -50.793
     point #  40  energy = -30.415
     point #  60  energy = -10.038
     point #  80  energy =  -8.979
